2020-03,Alabama,52747
2020-03,Arizona,65723
2020-03,Arkansas,24272
2020-03,California,130159
2020-03,Colorado,66078
2020-03,Connecticut,12486
2020-03,Delaware,7259
2020-03,District of Columbia,153
2020-03,Florida,156265
2020-03,Georgia,60914
2020-03,Idaho,19804
2020-03,Illinois,61239
2020-03,Indiana,68419
2020-03,Iowa,6156
2020-03,Kansas,25679
2020-03,Kentucky,43583
2020-03,Louisiana,35316
2020-03,Maine,13104
2020-03,Maryland,22715
2020-03,Massachusetts,14865
2020-03,Michigan,79353
2020-03,Minnesota,35930
2020-03,Mississippi,27281
2020-03,Missouri,64512
2020-03,Montana,12650
2020-03,Nebraska,3840
2020-03,Nevada,18242
2020-03,New Hampshire,20468
2020-03,New Jersey,10531
2020-03,New Mexico,20739
2020-03,New-York State,49163
2020-03,North Carolina,34437
2020-03,North Dakota,7839
2020-03,Ohio,92524
2020-03,Oklahoma,39677
2020-03,Oregon,52497
2020-03,Pennsylvania,103350
2020-03,Rhode Island,4836
2020-03,South Carolina,36078
2020-03,South Dakota,9766
2020-03,Tennessee,74703
2020-03,Texas,209541
2020-03,Utah,22573
2020-03,Vermont,6489
2020-03,Virginia,76009
2020-03,Washington State,52789
2020-03,West Virginia,20169
2020-03,Wisconsin,60806
2020-03,Wyoming,7504
2020-02,Alabama,37121
2020-02,Arizona,24845
2020-02,Arkansas,13565
2020-02,California,58215
2020-02,Colorado,31216
2020-02,Connecticut,7302
2020-02,Delaware,3489
2020-02,District of Columbia,101
2020-02,Florida,79959
2020-02,Georgia,27380
2020-02,Idaho,9657
2020-02,Illinois,32504
2020-02,Indiana,38688
2020-02,Iowa,2639
2020-02,Kansas,13515
2020-02,Kentucky,24057
2020-02,Louisiana,18867
2020-02,Maine,6791
2020-02,Maryland,10094
2020-02,Massachusetts,8456
2020-02,Michigan,23760
2020-02,Minnesota,20537
2020-02,Mississippi,17752
2020-02,Missouri,37804
2020-02,Montana,6539
2020-02,Nebraska,1941
2020-02,Nevada,8921
2020-02,New Hampshire,8771
2020-02,New Jersey,8183
2020-02,New Mexico,11767
2020-02,New-York State,23221
2020-02,North Carolina,15161
2020-02,North Dakota,4593
2020-02,Ohio,44203
2020-02,Oklahoma,24683
2020-02,Oregon,27144
2020-02,Pennsylvania,68857
2020-02,Rhode Island,2030
2020-02,South Carolina,20820
2020-02,South Dakota,6554
2020-02,Tennessee,47828
2020-02,Texas,89771
2020-02,Utah,7613
2020-02,Vermont,3384
2020-02,Virginia,57117
2020-02,Washington State,27549
2020-02,West Virginia,14363
2020-02,Wisconsin,29400
2020-02,Wyoming,4297
2020-01,Alabama,35076
2020-01,Arizona,22213
2020-01,Arkansas,12145
2020-01,California,56941
2020-01,Colorado,31065
2020-01,Connecticut,8007
2020-01,Delaware,3620
2020-01,District of Columbia,128
2020-01,Florida,74958
2020-01,Georgia,22308
2020-01,Idaho,7966
2020-01,Illinois,32155
2020-01,Indiana,34801
2020-01,Iowa,2228
2020-01,Kansas,11820
2020-01,Kentucky,19580
2020-01,Louisiana,18393
2020-01,Maine,6195
2020-01,Maryland,9496
2020-01,Massachusetts,8015
2020-01,Michigan,20056
2020-01,Minnesota,17010
2020-01,Mississippi,14712
2020-01,Missouri,33585
2020-01,Montana,5894
2020-01,Nebraska,2033
2020-01,Nevada,7663
2020-01,New Hampshire,8684
2020-01,New Jersey,7988
2020-01,New Mexico,10431
2020-01,New-York State,22837
2020-01,North Carolina,14744
2020-01,North Dakota,4029
2020-01,Ohio,37287
2020-01,Oklahoma,23216
2020-01,Oregon,24499
2020-01,Pennsylvania,59796
2020-01,Rhode Island,2123
2020-01,South Carolina,17283
2020-01,South Dakota,5679
2020-01,Tennessee,43726
2020-01,Texas,82899
2020-01,Utah,6511
2020-01,Vermont,2778
2020-01,Virginia,57815
2020-01,Washington State,27232
2020-01,West Virginia,12207
2020-01,Wisconsin,24356
2020-01,Wyoming,3791
2019-12,Alabama,58902
2019-12,Arizona,28601
2019-12,Arkansas,19628
2019-12,California,71417
2019-12,Colorado,39212
2019-12,Connecticut,7870
2019-12,Delaware,4376
2019-12,District of Columbia,102
2019-12,Florida,99015
2019-12,Georgia,39178
2019-12,Idaho,13856
2019-12,Illinois,38050
2019-12,Indiana,45516
2019-12,Iowa,4692
2019-12,Kansas,16745
2019-12,Kentucky,30656
2019-12,Louisiana,30980
2019-12,Maine,7770
2019-12,Maryland,11053
2019-12,Massachusetts,7305
2019-12,Michigan,28378
2019-12,Minnesota,21076
2019-12,Mississippi,27473
2019-12,Missouri,48306
2019-12,Montana,9691
2019-12,Nebraska,3378
2019-12,Nevada,9943
2019-12,New Hampshire,8726
2019-12,New Jersey,8088
2019-12,New Mexico,12978
2019-12,New-York State,25553
2019-12,North Carolina,25504
2019-12,North Dakota,5326
2019-12,Ohio,54366
2019-12,Oklahoma,33430
2019-12,Oregon,31626
2019-12,Pennsylvania,73458
2019-12,Rhode Island,1911
2019-12,South Carolina,26762
2019-12,South Dakota,7746
2019-12,Tennessee,62693
2019-12,Texas,123118
2019-12,Utah,12676
2019-12,Vermont,3223
2019-12,Virginia,67329
2019-12,Washington State,32260
2019-12,West Virginia,18759
2019-12,Wisconsin,31681
2019-12,Wyoming,6370
2019-11,Alabama,43217
2019-11,Arizona,21955
2019-11,Arkansas,16442
2019-11,California,59408
2019-11,Colorado,31896
2019-11,Connecticut,7229
2019-11,Delaware,3747
2019-11,District of Columbia,104
2019-11,Florida,79296
2019-11,Georgia,29173
2019-11,Idaho,10649
2019-11,Illinois,33712
2019-11,Indiana,39853
2019-11,Iowa,4835
2019-11,Kansas,14492
2019-11,Kentucky,24780
2019-11,Louisiana,24564
2019-11,Maine,7263
2019-11,Maryland,10600
2019-11,Massachusetts,7519
2019-11,Michigan,32646
2019-11,Minnesota,22698
2019-11,Mississippi,20813
2019-11,Missouri,42122
2019-11,Montana,7549
2019-11,Nebraska,3082
2019-11,Nevada,7765
2019-11,New Hampshire,8092
2019-11,New Jersey,7635
2019-11,New Mexico,10903
2019-11,New-York State,26691
2019-11,North Carolina,21114
2019-11,North Dakota,4968
2019-11,Ohio,50163
2019-11,Oklahoma,31573
2019-11,Oregon,26608
2019-11,Pennsylvania,72184
2019-11,Rhode Island,1786
2019-11,South Carolina,20834
2019-11,South Dakota,7321
2019-11,Tennessee,48927
2019-11,Texas,99194
2019-11,Utah,9133
2019-11,Vermont,2915
2019-11,Virginia,51323
2019-11,Washington State,23650
2019-11,West Virginia,15814
2019-11,Wisconsin,33526
2019-11,Wyoming,4519
2019-10,Alabama,30451
2019-10,Arizona,19052
2019-10,Arkansas,11982
2019-10,California,55133
2019-10,Colorado,28806
2019-10,Connecticut,6337
2019-10,Delaware,3373
2019-10,District of Columbia,116
2019-10,Florida,67320
2019-10,Georgia,20963
2019-10,Idaho,9314
